,Community,Facility Name,Colour Posting,Last Inspection Date,Site Address,url,category,Risk Rating,Type,Offense,Outcome,Offense Date,Comment,Resolved Date
3,Forest,Pizza Hut,,2023-10-30,10 King Street West  Forest ON N0N 1J0,location.href = '/Facility/Details/ae14d095-ff0d-4127-a692-a8a32028a8dd' ,DineSafe Lambton,,,,,,,
4,Petrolia,Pizza Hut,,2024-02-22,4495 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/151308da-8e3e-4ae0-982b-4111926d3e3d' ,DineSafe Lambton,,,,,,,
5,Sarnia (Central),Pizza Hut,,2023-11-24,1252 London Rd  Sarnia ON N7S 1P5,location.href = '/Facility/Details/c58bd417-190f-4211-95f7-d28a9487ae98' ,DineSafe Lambton,,,,,,,
6,Grand Bend,Pizza Hut,,2024-03-08,31 Ontario St. North  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/49edfd46-366d-44f3-97c5-d43865a0c3cd' ,DineSafe Lambton,,,,,,,
7,Corunna,Pizza Hut,,2024-01-15,1-450 Lyndoch Street  Corunna ON N0N 1G0,location.href = '/Facility/Details/36bf086f-d041-4f96-83fc-cbae9f4f85ac' ,DineSafe Lambton,,,,,,,
8,Sarnia (Central),Pizza Pizza,,2024-01-29,5-49 Finch Drive  Sarnia ON N7S 5C6,location.href = '/Facility/Details/879edbe6-0e8f-438d-8c6e-5896c32fe7ff' ,DineSafe Lambton,,,,,,,
9,Wyoming,Pizza Pizza/ Nicholby's,,2024-03-07,4493 London Line  Wyoming ON N0N 1T0,location.href = '/Facility/Details/b32053b5-4b3c-487f-a604-54cb79c0e412' ,DineSafe Lambton,,,,,,,
10,Watford,Plants on Fire,,2023-07-18,389 Erie Street  Watford ON N0M 2S0,location.href = '/Facility/Details/b01ff45c-afaf-41a7-becf-9b7358efdef5' ,DineSafe Lambton,,,,,,,
11,Brigden,Ploughman's Diner,,2023-10-06,2435 Courtright Line  Brigden ON N0N 1B0,location.href = '/Facility/Details/60acb6a8-0f86-49fd-9fe0-09b5b10dd783' ,DineSafe Lambton,,,,,,,
12,Wyoming,Plympton-Wyoming Agricultural Society Building,,2023-11-21,595 Main St  Wyoming ON N0N 1T0,location.href = '/Facility/Details/25c63a63-ef6a-42dd-916d-42d84b587c8b' ,DineSafe Lambton,,,,,,,
13,Point Edward,Point Brewing Company,,2023-06-23,705 Lite St  Point Edward ON N7V 1A7,location.href = '/Facility/Details/4a1289af-d774-4686-a57e-7180c2ce7590' ,DineSafe Lambton,,,,,,,
14,Point Edward,Point Edward Arena,,2023-11-22,210 Monk Street  Point Edward ON N7V 1N2,location.href = '/Facility/Details/d9049818-fc52-44d4-835b-20cc214cb3d4' ,DineSafe Lambton,,,,,,,
15,Point Edward,Point Edward Early Learning Centre,,2024-04-04,213 Michigan Avenue  Point Edward ON N7V 1E7,location.href = '/Facility/Details/6fbbef0f-b676-46a8-819f-1c0a45d4015b' ,DineSafe Lambton,,,,,,,
16,Point Edward,Point Edward Ex-Servicemen's Club Association,,2023-12-20,503 Michigan Avenue  Point Edward ON N7V 1G4,location.href = '/Facility/Details/85fa3e09-a493-443f-9e44-98984ea6dc11' ,DineSafe Lambton,,,,,,,
17,Point Edward,Point Variety,,2023-07-12,510 Michigan Avenue  Point Edward ON N7B 1G5,location.href = '/Facility/Details/6a11a7c2-411b-480d-b241-be8842a32486' ,DineSafe Lambton,,,,,,,
18,Sarnia (Central),Polish Alliance Hall,,2023-12-02,173 Exmouth St  Sarnia ON N7T 5M4,location.href = '/Facility/Details/d2bff934-e5b6-407f-90d2-c83c552bd334' ,DineSafe Lambton,,,,,,,
19,Sarnia (Central),Popeyes Chicken,,2024-01-22,1337 London Road  Sarnia ON N7S 1P3,location.href = '/Facility/Details/3c9c0eda-e34b-4343-9fef-bc26a6208435' ,DineSafe Lambton,,,,,,,
20,Thedford,Poppa Jim's Pizza,,2024-04-05,65 Main St  Thedford ON N0M 2N0,location.href = '/Facility/Details/4c828b25-9f71-4729-9642-8862917c21a3' ,DineSafe Lambton,,,,,,,
21,Port Franks,Port Franks Community Centre,,2023-10-26,9997 Port Franks Rd  Port Franks ON N0M 2L0,location.href = '/Facility/Details/5f0287ca-91e9-4db2-bfca-002b4610c276' ,DineSafe Lambton,,,,,,,
22,Port Lambton,Port Lambton Community Hall,,2023-03-27,507 Stoddard  Port Lambton ON N0P 2B0,location.href = '/Facility/Details/325fd632-f486-43dc-bc8e-75ea3bf4b978' ,DineSafe Lambton,,,,,,,
23,Port Lambton,Port Lambton Food Market,,2024-04-09,4352 St. Clair Pkwy  Port Lambton ON N0P 2B0,location.href = '/Facility/Details/3f6e7df6-0266-4403-9307-ad872f986013' ,DineSafe Lambton,,,,,,,
24,Sarnia (Central),Portuguese Canadian Club,,2023-11-17,399 Campbell St  Sarnia ON N7T 2H7,location.href = '/Facility/Details/11271ff6-51fd-4e57-ac6e-99ddb8c32bba' ,DineSafe Lambton,,,,,,,
0,Sarnia (Central),Presotea,,2024-02-26,172-1380 London Rd  Sarnia ON N7S 1P8,location.href = '/Facility/Details/edb0077d-deb6-45d7-a731-bd3d48657be3' ,DineSafe Lambton,,,,,,,
